age,apps,first_name,full_name,height,last_name,played_positions,position,ranking,rating,team_name,team_region_name,weight
23,1,Ben,Ben Chilwell,178,Chilwell,-DL-ML-,Defender,1,9.16,Chelsea,England,77
27,1,Serge,Serge Aurier,176,Aurier,-DC-DL-DR-MR-,Defender,2,8.92,Tottenham,England,76
33,2,Dries,Dries Mertens,169,Mertens,-AMC-AML-AMR-FW-,Forward,3,8.9,Napoli,Italy,61
21,3,Kylian,Kylian Mbappé,178,Mbappé,-AML-AMR-FW-,Forward,4,8.839999999999998,Paris Saint-Germain,France,73
39,1,Zlatan,Zlatan Ibrahimovic,195,Ibrahimovic,-FW-,Forward,5,8.72,AC Milan,Italy,95
32,3,Alejandro,Alejandro Gómez,167,Gómez,-FW-MC-ML-,Midfielder,6,8.696666666666667,Atalanta,Italy,68
27,1,Willi,Willi Orban,186,Orban,-DC-,Defender,7,8.62,RasenBallsport Leipzig,Germany,87
25,3,Jack,Jack Grealish,175,Grealish,-AMC-AML-,Midfielder,8,8.543333333333333,Aston Villa,England,68
28,4,Heung-Min,Son Heung-Min,183,Son,-FW-MC-ML-MR-,Forward,9,8.4275,Tottenham,England,78
29,4,James,James Rodríguez,180,Rodríguez,-AMC-AML-AMR-,Midfielder,10,8.412500000000001,Everton,England,75
23,1,Gabriel Fernando,Gabriel Jesus,175,de Jesus,-AML-AMR-FW-,Forward,11,8.38,Manchester City,England,73
23,4,Dominic,Dominic Calvert-Lewin,187,Calvert-Lewin,-AML-FW-,Forward,12,8.325,Everton,England,71
26,1,Ross,Ross Barkley,189,Barkley,-MC-ML-MR-,Midfielder,13,8.32,Aston Villa,England,76
27,4,Harry,Harry Kane,188,Kane,-AMC-FW-,Forward,14,8.3125,Tottenham,England,86
23,3,Theo,Theo Hernández,184,Hernández,-DL-,Defender,15,8.296666666666667,AC Milan,Italy,81
32,3,Robert,Robert Lewandowski,184,Lewandowski,-FW-,Forward,16,8.24,Bayern Munich,Germany,80
29,3,Andrej,Andrej Kramaric,177,Kramaric,-AMC-AML-AMR-FW-,Forward,17,8.176666666666668,Hoffenheim,Germany,73
25,2,Hirving,Hirving Lozano,175,Lozano,-AML-AMR-FW-,Forward,18,8.17,Napoli,Italy,70
18,1,Adrien,Adrien Truffert,173,Truffert,,Defender,19,8.16,Rennes,France,61
17,3,Giovanni,Giovanni Reyna,185,Reyna,,Midfielder,20,8.136666666666667,Borussia Dortmund,Germany,79
28,4,Mohamed,Mohamed Salah,175,Salah Ghaly,-AMC-AML-AMR-FW-,Forward,21,8.135,Liverpool,England,71
17,3,Anssumane,Ansu Fati,178,Fati,-AML-,Forward,22,8.13,Barcelona,Spain,66
25,3,John,John McGinn,178,McGinn,-DMC-,Midfielder,23,8.12,Aston Villa,England,68
28,3,Sadio,Sadio Mané,175,Mané,-AMC-AML-AMR-FW-,Forward,24,8.116666666666665,Liverpool,England,69
24,5,Mikel,Mikel Merino,188,Merino,-MC-,Midfielder,25,8.106,Real Sociedad,Spain,83
35,2,Cristiano Ronaldo,Cristiano Ronaldo,187,dos Santos Aveiro,-FW-ML-,Forward,26,8.08,Juventus,Italy,83
20,3,Erling,Erling Haaland,194,Haaland,-FW-,Forward,27,8.07,Borussia Dortmund,Germany,88
31,3,Bas,Bas Dost,196,Dost,-FW-,Forward,28,8.066666666666666,Eintracht Frankfurt,Germany,78
24,3,Ollie,Ollie Watkins,180,Watkins,-AML-AMR-FW-,Forward,29,8.053333333333333,Aston Villa,England,70
21,3,Matheus,Matheus Cunha,183,Santos Carneiro Da Cunha,-AMC-FW-,Forward,30,8.049999999999999,Hertha Berlin,Germany,76
26,2,Piotr,Piotr Zielinski,180,Zielinski,-MC-ML-,Midfielder,31,8.035,Napoli,Italy,75
31,3,Thomas,Thomas Müller,186,Müller,-FW-MC-ML-MR-,Forward,32,8.01,Bayern Munich,Germany,75
29,2,Marcel,Marcel Halstenberg,188,Halstenberg,-DC-DL-ML-,Defender,33,7.99,RasenBallsport Leipzig,Germany,87
26,3,Domenico,Domenico Berardi,183,Berardi,-AMR-FW-,Forward,34,7.946666666666668,Sassuolo,Italy,72
23,3,Sasa,Sasa Kalajdzic,200,Kalajdzic,-FW-,Forward,35,7.93,VfB Stuttgart,Germany,76
20,2,Nico,Nico Schlotterbeck,191,Schlotterbeck,-DC-,Defender,36,7.92,Union Berlin,Germany,86
27,6,Zinedine,Zinedine Ferhat,183,Ferhat,-AMR-,Midfielder,37,7.91,Nimes,France,77
29,5,Andy,Andy Delort,181,Delort,-AMR-FW-,Forward,38,7.906000000000001,Montpellier,France,83
24,2,Leroy,Leroy Sané,184,Sané,-FW-MC-ML-MR-,Forward,39,7.89,Bayern Munich,Germany,75
23,4,Richarlison,Richarlison,184,de Andrade,-AMC-AML-AMR-FW-,Forward,40,7.8875,Everton,England,83
23,5,Romain,Romain Perraud,173,Perraud,-DL-,Defender,41,7.878,Brest,France,68
20,2,Dejan,Dejan Kulusevski,186,Kulusevski,-AMC-AMR-,Midfielder,42,7.859999999999999,Juventus,Italy,0
26,3,Emre,Emre Can,186,Can,-DC-DL-DMC-DR-,Midfielder,43,7.81,Borussia Dortmund,Germany,86
26,2,Roberto,Roberto Gagliardini,190,Gagliardini,-DMC-,Midfielder,44,7.805,Inter,Italy,77
29,3,Duván,Duván Zapata,189,Zapata,-FW-,Forward,45,7.786666666666666,Atalanta,Italy,88
33,1,Scott,Scott Dann,188,Dann,-DC-,Defender,46,7.77,Crystal Palace,England,76
26,2,Yussuf,Yussuf Poulsen,192,Poulsen,-AMR-FW-,Forward,47,7.765000000000001,RasenBallsport Leipzig,Germany,84
28,6,Téji,Téji Savanier,172,Savanier,-MC-,Midfielder,48,7.761666666666668,Montpellier,France,69
27,2,Giovanni,Giovanni Di Lorenzo,183,Di Lorenzo,-DC-DR-MR-,Defender,49,7.76,Napoli,Italy,83
27,3,Tyrone,Tyrone Mings,196,Mings,-DC-DL-,Defender,50,7.743333333333333,Aston Villa,England,77
34,1,Diego,Diego Godín,187,Godín,-DC-,Defender,51,7.74,Cagliari,Italy,78
26,3,Mahmoud Ahmed Ibrahim,Trézéguet,180,Hassan,-AML-AMR-,Midfielder,52,7.736666666666667,Aston Villa,England,71
25,3,Joshua,Joshua Kimmich,176,Kimmich,-DC-DMC-DR-,Midfielder,53,7.73,Bayern Munich,Germany,73
20,3,João Félix,João Félix,181,Sequeira,-AML-FW-,Forward,54,7.72,Atletico Madrid,Spain,70
23,3,Davide,Davide Calabria,177,Calabria,-DL-DR-MR-,Defender,55,7.713333333333334,AC Milan,Italy,70
33,3,Francesco,Francesco Caputo,180,Caputo,-FW-,Forward,56,7.706666666666667,Sassuolo,Italy,75
23,3,Franck,Franck Kessié,183,Kessié,-DMC-,Midfielder,57,7.7,AC Milan,Italy,74
32,4,Ángel,Ángel Di María,180,Di María,-FW-MC-ML-MR-,Midfielder,58,7.692500000000001,Paris Saint-Germain,France,75
29,3,Kevin,Kevin De Bruyne,181,De Bruyne,-FW-MC-ML-MR-,Midfielder,59,7.683333333333334,Manchester City,England,68
27,3,Romelu,Romelu Lukaku,190,Lukaku,-AMR-FW-,Forward,60,7.683333333333333,Inter,Italy,94
21,3,Roger,Ibañez,185,Ibañez da Silva,-DC-,Defender,61,7.68,Roma,Italy,73
26,6,Gaetan,Gaetan Laborde,181,Laborde,-AMC-FW-,Forward,62,7.671666666666667,Montpellier,France,78
28,3,Neymar da Silva,Neymar,175,Santos Júnior,-AMC-AML-AMR-FW-,Forward,63,7.663333333333334,Paris Saint-Germain,France,68
20,3,Reece,Reece James,182,James,-DMC-DR-MR-,Defender,64,7.653333333333333,Chelsea,England,82
26,3,Robin,Robin Gosens,183,Gosens,-DL-MC-ML-,Defender,65,7.646666666666667,Atalanta,Italy,76
27,2,Jeffrey,Jeffrey Schlupp,178,Schlupp,-DL-MC-ML-,Midfielder,66,7.64,Crystal Palace,England,72
28,3,Filip,Filip Djuricic,176,Djuricic,-AMC-AML-AMR-FW-,Midfielder,67,7.633333333333334,Sassuolo,Italy,69
22,3,Amadou,Amadou Haidara,175,Haidara,-MC-MR-,Midfielder,68,7.63,RasenBallsport Leipzig,Germany,72
28,5,Gerard,Gerard Moreno,180,Moreno,-AMC-AMR-FW-,Forward,69,7.626,Villarreal,Spain,77
26,3,Koray,Koray Günter,184,Günter,-DC-,Defender,70,7.6066666666666665,Verona,Italy,79
33,4,Jamie,Jamie Vardy,179,Vardy,-AML-FW-,Forward,71,7.605,Leicester,England,74
22,3,Ezri,Ezri Konsa,183,Konsa Ngoyo,-DC-DR-,Defender,72,7.603333333333333,Aston Villa,England,77
23,3,Felix,Felix Uduokhai,193,Uduokhai,-DC-,Defender,73,7.603333333333333,Augsburg,Germany,87
29,2,Kalidou,Kalidou Koulibaly,195,Koulibaly,-DC-,Defender,74,7.6,Napoli,Italy,89
33,3,Lionel,Lionel Messi,170,Messi,-AMC-AMR-FW-,Forward,75,7.593333333333334,Barcelona,Spain,72
35,6,Laurent,Laurent Koscielny,186,Koscielny,-DC-,Defender,76,7.573333333333333,Bordeaux,France,75
25,3,Serge,Serge Gnabry,175,Gnabry,-AMC-AML-AMR-FW-,Forward,77,7.573333333333333,Bayern Munich,Germany,75
22,3,Manuel,Manuel Locatelli,185,Locatelli,-MC-,Midfielder,78,7.57,Sassuolo,Italy,75
30,4,Karl,Karl Darlow,190,Darlow,-GK-,Goalkeeper,79,7.5625,Newcastle United,England,88
22,6,Romain,Romain Faivre,180,Faivre,,Midfielder,80,7.561666666666667,Brest,France,75
26,4,Steve,Steve Mounie,190,Mounie,-FW-,Forward,81,7.56,Brest,France,83
29,2,Conor,Conor Hourihane,180,Hourihane,-DMC-,Midfielder,82,7.555,Aston Villa,England,62
20,2,Jadon,Jadon Sancho,180,Sancho,-AMC-AML-AMR-,Midfielder,83,7.555,Borussia Dortmund,Germany,76
33,2,Facundo,Facundo Roncaglia,179,Roncaglia,-DC-DL-DR-,Defender,84,7.550000000000001,Osasuna,Spain,76
28,1,Vladimir,Vladimir Coufal,179,Coufal,-DR-,Defender,85,7.55,West Ham,England,76
32,3,Daniel,Daniel Caligiuri,182,Caligiuri,-DR-FW-MC-ML-MR-,Midfielder,86,7.546666666666667,Augsburg,Germany,80
29,2,Danilo Luiz,Danilo,184,da Silva,-DL-DR-,Defender,87,7.54,Juventus,Italy,78
20,2,Maxence,Maxence Lacroix,190,Lacroix,,Defender,88,7.54,Wolfsburg,Germany,88
30,4,Michail,Michail Antonio,180,Antonio,-DR-FW-MC-ML-MR-,Forward,89,7.54,West Ham,England,82
28,3,Philippe,Philippe Coutinho,172,Coutinho Correia,-MC-ML-MR-,Midfielder,90,7.536666666666666,Barcelona,Spain,68
29,2,Fabián,Fabián Balbuena,188,Balbuena,-DC-,Defender,91,7.535,West Ham,England,82
29,6,Gaël,Gaël Kakuta,173,Kakuta,-MC-ML-MR-,Midfielder,92,7.533333333333334,Lens,France,64
21,3,Achraf,Achraf Hakimi,181,Hakimi,-DL-DR-MR-,Defender,93,7.53,Inter,Italy,73
21,2,Victor,Victor Osimhen,185,Osimhen,-FW-,Forward,94,7.525,Napoli,Italy,78
26,2,Andrea,Andrea Belotti,181,Belotti,-FW-,Forward,95,7.52,Torino,Italy,72
27,3,Niclas,Niclas Füllkrug,189,Füllkrug,-FW-,Forward,96,7.52,Werder Bremen,Germany,83
31,3,Simon,Simon Kjaer,190,Kjaer,-DC-,Defender,97,7.516666666666667,AC Milan,Italy,86
33,2,Antonio,Antonio Candreva,180,Candreva,-MC-ML-MR-,Midfielder,98,7.51,Sampdoria,Italy,70
25,3,Kurt,Kurt Zouma,190,Zouma,-DC-DR-,Defender,99,7.506666666666667,Chelsea,England,96
24,6,Jonathan,Jonathan Bamba,175,Bamba,-AMC-AML-AMR-FW-,Forward,100,7.501666666666668,Lille,France,72
34,1,Cristián,Cristián Zapata,187,Zapata,-DC-,Defender,101,7.5,Genoa,Italy,82
29,3,Roberto,Roberto Soriano,182,Soriano,-AMC-AML-,Midfielder,102,7.5,Bologna,Italy,76
24,3,André Miguel,André Silva,184,Valente Silva,-FW-,Forward,103,7.493333333333333,Eintracht Frankfurt,Germany,78
29,2,Aaron,Aaron Ramsey,178,Ramsey,-MC-ML-MR-,Midfielder,104,7.49,Juventus,Italy,76
23,3,Matthew,Matthew Cash,185,Cash,-DR-MC-ML-MR-,Defender,105,7.483333333333334,Aston Villa,England,0
26,3,Dennis,Dennis Praet,181,Praet,-AMC-AMR-,Midfielder,106,7.47,Leicester,England,78
31,1,Jasmin,Jasmin Kurtic,186,Kurtic,-MC-ML-,Midfielder,107,7.47,Parma Calcio 1913,Italy,88
20,6,Amine,Amine Gouiri,180,Gouiri,,Forward,108,7.468333333333334,Nice,France,72
